Name,Address,Description,watchlist_ind,n_dry_saunas,n_steam_rooms,sauna_types,tags,venue_primary_function,cold_immersion_setup,showers_available,url
Hilton Private Wellness,"101 Waddon Way, CR9 4HH","2026 Flagship: A private-hire wellness suite for 1–6 people. Includes a Finnish sauna, steam bath, and a Zerobody dry floatation bed.",,1,1,[Finnish],"[Private, Boutique, Recovery, Wellness]",Recovery Hub,,TRUE,https://www.treatwell.co.uk/place/hilton-private-wellness-area/
Hk Hammam & Spa,"11 Cambridge Parade, EN1 4JU",Verified 2026: Authentic Moroccan/Turkish-inspired spa. Features a high-heat dry sauna (85°C) and eucalyptus steam room.,,1,1,[Finnish],"[Boutique, Wellness, Traditional, Private]",Boutique Spa,"Bucket ice shower, Ice room (-15°C)",TRUE,https://oldhammam.co.uk/
Hot Stone Spa,"19 High Rd, Willesden NW10",Verified 2026: Reopening in Jan 2026 under new management. Known for traditional sauna sessions and specialized body scrubs.,,1,0,[Finnish],"[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://www.hotstonespa.co.uk/
Indy Massage & Spa,"514 London Rd, Sutton SM3 8HW",Neighborhood wellness center in North Cheam. Offers private 30-minute high-heat sauna sessions alongside Thai treatments.,,1,0,[Finnish],"[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://www.indymassageandspa.co.uk/
InterContinental Spa,"1 Waterview Dr, Greenwich SE10 0TW","Luxury riverside retreat within the hotel. Features a contemporary thermal suite including a sauna, steam room, and relaxation pools.",,1,1,[Finnish],"[Luxury, Hotel, Wellness]",Hotel Spa,1 ice fountain,TRUE,https://www.ihg.com/intercontinental/hotels/gb/en/london/lonic/hoteldetail/amenities
Ironmonger Row Baths,"1 Norman St, Islington EC1V 3AA","2026 Restoration: Historic 1930s Turkish Baths. Features a modern Juniper sauna (with IR panels), a high-heat salt sauna, and two specialized steam rooms.",1,2,2,"[Juniper, Infrared, Salt, Finnish]","[Historic, Public, Wellness, High-Heat, Contrast-Focus]",Traditional Banya,"1 plunge pool, 1 drench bucket",TRUE,https://www.spaexperience.org.uk/locations/old-street
Kensington Health Club,"Wrights Lane, W8 5SP",Located within the Holiday Inn London - Kensington High St. A tranquil retreat featuring an 18m pool and full thermal suite.,,1,1,[Finnish],"[Private, Hotel, Wellness, Social]",Gym / Leisure Centre,,TRUE,https://www.hilondonkensington.com/health-club-spa
Kings Gym Tower Bridge,"100 Tooley St, SE1 2TH",High-performance training facility. Features a poolside health suite including a high-heat dry sauna and a steam room for recovery.,,1,1,[Finnish],"[Private, Gym, Athletic, Recovery]",Gym / Leisure Centre,,TRUE,https://kingsgyms.com/pages/tower-bridge
Koia Notting Hill,"32 Notting Hill Gate, W11 3HX",High-end Notting Hill boutique. Features a private traditional dry sauna available for solo or couples sessions alongside luxury Thai rituals.,,1,0,[Finnish],"[Private, Boutique, Wellness, Luxury]",Boutique Spa,,TRUE,https://www.koia.london/treatment/spa/
KOYO Wellness,"14 King St, Richmond TW9 1ND","2026 Flagship: A premier contrast therapy sanctuary in Richmond. Features high-spec infrared saunas paired with ""beautifully handmade"" ice baths in private rooms.",,1+,0,[Infrared],"[Private, Boutique, Recovery Hub, Contrast-Focus, Wellness]",Recovery Hub,Handmade ice baths,TRUE,https://www.koyo-wellness.com/contrast-therapy/
Lanna Thai,"280 Upper Richmond Rd, SW15 6TQ","Specialist Thai massage clinic in Putney. Features an authentic dry sauna integrated into holistic ""Massage & Sauna"" recovery packages.",,1,0,[Finnish],"[Private, Boutique, Wellness]",Boutique Spa,,TRUE,https://lannathaiuk.com/
Leyton Leisure Centre,"763 High Rd, Leyton E10 5AB","Managed by ""Better."" Features a dedicated health suite containing a traditional dry sauna and a steam room.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/waltham-forest/leyton-leisure-centre
London Bridge Hotel,"8-10 London Bridge St, SE1 9SG",Independent 4-star hotel. Features a compact fitness suite with a traditional wood-lined sauna.,,1,0,[Finnish],"[Private, Hotel, Wellness]",Hotel Spa,,TRUE,https://www.londonbridgehotel.com/
Luxury Spa (London),"Hamilton Pl, Park Lane, W1J 7DR",Verified 2026: Referring to the Spa at Four Seasons Park Lane. Features high-spec thermal facilities including a glass-walled sauna with skyline views.,,1,1,"[Finnish, High-Heat]","[Private, Luxury, Wellness, Boutique]",Hotel Spa,1 vitality pool,TRUE,https://www.fourseasons.com/london/spa/
Loxford Leisure Centre,"Loxford Lane, Ilford, IG1 2UT","2026 Status: Offers specific ""Mixed Spa Sessions."" Shared with a school; check term-time opening hours for public access.",,1,1,[Finnish],"[Public, Community, Wellness]",Gym / Leisure Centre,,TRUE,https://visionrcl.org.uk/leisure/loxford-leisure-centre/
Lush Spa (Oxford St),"175-179 Oxford St, London, W1D 2JS","Unlike other branches, this flagship offers a unique sensory ""Sauna & Treatment"" experience using their own essential oils.",,1,0,[Infrared],"[Boutique, Concept, Wellness]",Boutique Spa,,TRUE,https://www.lush.com/uk/en/shops/lush-oxford-street
Maresia Spa & Massage,"18 Bush Hill Parade, Village Road, Enfield, EN1 2HB","2026 Update: Features a new ""Exclusive Basement Suite"" with a state-of-the-art steam room available for private booking.",,1,1,[Finnish],"[Boutique, Private, Wellness]",Boutique Spa,,TRUE,https://maresiaspa.co.uk/services/steam-room/
Marshall Street Spa,"15 Marshall St, London, W1F 7EL",Stunning 1930s marble setting in Soho. Features two distinct saunas and multiple steam rooms in a high-spec thermal suite.,,2,2+,[Finnish],"[Public, Historic, Luxury, Boutique]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/marshall-street-leisure-centre-spa/
Meridian Fitness (Spa),"38 Creek Rd, London, SE8 3FN",High-end wellness gym in Greenwich with a verified sauna and steam room open 7 days a week in 2026.,,1,1,[Finnish],"[Gym, Wellness, Boutique, Social]",Gym / Leisure Centre,,TRUE,https://www.meridian-fitness.co.uk/sauna-and-steam-rooms/
Marshall Street Spa,"15 Marshall St, London, W1F 7EL",Historic Grade II listed Soho venue. Features a high-spec thermal suite with 2 distinct saunas and 1 steam room.,,2,1,[Finnish],"[Public, Historic, Luxury, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/marshall-street-leisure-centre-spa/
Meridian Fitness (Spa),"38 Creek Rd, London, SE8 3FN","A high-end wellness gym in Greenwich. Verified 2026: Maintains a clean, integrated sauna and steam suite for members and day guests.",,1,1,[Finnish],"[Gym, Wellness, Boutique, Social]",Gym / Leisure Centre,,TRUE,https://www.meridian-fitness.co.uk/sauna-and-steam-rooms/
Mile End Climbing Wall,"Clinton Rd, London, E3 4QY","Unique 2026 Feature: This climbing gym hosts a new outdoor wood-fired ""Finnish Sauna"" area with authentic wood-burning units and a cold plunge.",,2,0,"[Finnish, Wood-fired]","[Athletic, Social, Contrast-Focus, Traditional]",Climbing Gym,2 cold plunge pools,TRUE,https://www.mileendclimbing.com/
Mile End Leisure Centre,"190 Burdett Rd, London E3 4HL","Part of the Tower Hamlets ""Be Well"" network. Features a dedicated health suite with a sauna, steam room, and relaxation area.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
Moberly Spa,"25 Chamberlayne Rd, London NW10 3NB","A high-spec, modern health suite located within the Everyone Active Moberly Sports Centre. Includes a sauna, steam room, and treatment rooms.",,1,1,[Finnish],"[Public, Boutique, Wellness]",Boutique Spa,,TRUE,https://www.everyoneactive.com/centre/moberly-sports-centre/spa/
Moberly Spa & Wellness,"25 Chamberlayne Rd, London NW10 3NB","The professional treatment and therapy wing of the Moberly facility, specializing in massages and luxury spa days using the thermal suite.",,1,1,[Finnish],"[Boutique, Private, Wellness]",Boutique Spa,,TRUE,https://www.fresha.com/a/moberly-spa-wellness-london-25-chamberlayne-road-jbN4lR
Motion Health Club (Chelsea),"Millennium Hotel, London SW10 0XG",Luxury health club at the Chelsea Harbour Hotel. Features individual sauna and steam rooms located within the male and female changing rooms.,,1,1,[Finnish],"[Luxury, Hotel, Private]",Hotel Spa,,TRUE,https://motionhealthclubs.co.uk/chelsea-harbour/
Natures Spa (Hendon),"9 Vivian Ave, London NW4 3UT",A long-standing boutique massage and aromatherapy clinic (est. 1974). Features a private dry sauna often included with body treatments.,,1,0,[Finnish],"[Boutique, Private, Wellness, Traditional]",Boutique Spa,,TRUE,https://naturesspa.co.uk/
Nature’s Health Hub,"134-136 North Cray Road, Bexley, DA5 3NB",Address Updated: Relocated from Welling to Bexley. A holistic hub featuring a private Infrared Sauna cabin for recovery and detoxification.,,1,0,[Infrared],"[Private, Recovery Hub, Wellness, Boutique]",Recovery Hub,,TRUE,https://www.natureshealthhub.co.uk/infrared-sauna
Newham Leisure Centre,"281 Prince Regent Ln, London E13 8SD","A cornerstone of the ""Better"" network in Newham. Verified 2026: Features a health suite on the first-floor mezzanine with a sauna and steam room.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/newham/newham-leisure-centre
Novo Gyms (Greenwich),"1-3 Lambarde Square, London SE10 9GB",Address Updated: A premier 24/7 recovery-focused gym. Features a dedicated suite with Salt and Infrared saunas.,,2,1,"[Salt, Infrared]","[Boutique, Recovery Hub, Wellness, Contrast-Focus, Gym]",Recovery Hub,"2 stainless steel ice baths, 1 recovery pool",TRUE,https://www.novogyms.com/greenwich
NRG GYM Lewisham,"156-160 Lewisham High St, SE13 6JL","High-performance ""Tribe"" gym. Verified 2026: Provides individual Infrared saunas within male and female changing areas.",,1+,0,[Infrared],"[Gym, Athletic, High-Heat, Wellness]",Gym / Leisure Centre,,TRUE,https://nrggym.com/gyms/lewisham/
Nuffield Health (Friern Barnet),"Princess Park Manor, 264 Royal Drive, N11 3BG","Set in a converted Victorian manor. Features a luxury wellness suite with a pool, sauna, and steam room.",,1,1,[Finnish],"[Gym, Wellness, Luxury, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/friern-barnet
Nuffield Health (Stockley Park),"The Arena Club, Stockley Park East, Uxbridge UB11 1AA","High-end corporate gym serving the Stockley Park hub. Features a full spa area with a 25m pool, sauna, and steam room.",,1,1,[Finnish],"[Gym, Wellness, Corporate, Athletic]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/stockley-park
Nuffield Health (Twickenham),"Langhorn Dr, Twickenham TW2 7SX","Located within the Allianz Stadium complex. Features a comprehensive luxury health suite with sauna, steam room, and jacuzzi.",,1,1,[Finnish],"[Gym, Wellness, Athletic, Luxury]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/twickenham
Nuffield Health (Wandsworth),"King George's Park, Burr Road, Wandsworth SW18 4SQ",Verified 2026: A modern flagship club featuring a 20m swimming pool and a dedicated sauna and steam room recovery area.,,1,1,[Finnish],"[Gym, Wellness, Athletic, Social]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/wandsworth
Nuffield Health (West Wickham),"Hayes Lane, Bromley BR2 9EF","Address Clarification: Officially the ""Bromley"" club. 2026 records confirm a poolside sauna, but no communal steam room is currently listed.",,1,0,[Finnish],"[Gym, Wellness, Private, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/bromley
Nuffield Health Cheam,"Peaches Close, Cheam, SM2 7BJ","A modern fitness club offering comprehensive wellbeing services. Facilities include a heated indoor pool, sauna, and steam room.",,1,1,[Finnish],"[Gym, Wellness, Private, Athletic]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/cheam
Nuffield Health Chiswick,"Chiswick Park, London W4 5YA",Premium health club located within the Chiswick Park business hub. Features a 25m pool alongside a dedicated sauna and steam suite.,,1,1,[Finnish],"[Gym, Wellness, Private, Corporate]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/chiswick
Nuffield Health Ealing,"5th Floor, Ealing Broadway Centre, W5 5JY","Centrally located club on the top floor of the Broadway Centre. Verified 2026: Includes a 20m pool, sauna, and steam room.",,1,1,[Finnish],"[Gym, Wellness, Private, Athletic]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/ealing
Nuffield Health Fulham,"Stevenage Rd, London SW6 6PF",Riverside club adjacent to Craven Cottage. Features a popular health suite with a dry sauna and steam room (Jacuzzi currently in maintenance).,,1,1,[Finnish],"[Gym, Wellness, Private, Athletic]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/fulham
Nuffield Health Kingston,"Richmond Rd, Kingston, KT2 5EN","A large, well-equipped facility near Kingston station. Features a 25m pool, sauna, steam room, and specialized recovery zones.",,1,1,[Finnish],"[Gym, Wellness, Private, Athletic]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/kingston
Nuffield Health Romford,"4 The Brewery, Romford, RM1 1AU","Located within The Brewery complex. Verified 2026: Features a comprehensive health suite including a sauna, steam room, and a 25m swimming pool.",,1,1,[Finnish],"[Gym, Wellness, Private, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/romford
Nuffield Health Ruislip,"Bury St, Ruislip, HA4 7TL",A premium fitness and wellbeing centre. Verified 2026: Offers a poolside thermal area with a dedicated sauna and steam room for member recovery.,,1,1,[Finnish],"[Gym, Wellness, Private, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/ruislip
Oasis Sports Centre,"32 Endell St, London, WC2H 9AG","A unique central London ""Better"" facility. Features a famous outdoor heated pool and a dedicated outdoor poolside sauna cabin.",,1,0,[Finnish],"[Public, Leisure, Historic, Outdoor]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/camden/oasis-sports-centre
ONE LDN (Fulham),"4 The Boulevard, Imperial Wharf, SW6 2BF",High-performance athletic club. Features a specialized recovery suite (Sauna & Plunge) with multiple saunas and custom ice baths.,,2,0,"[Finnish, Infrared]","[Athletic, Recovery Hub, Contrast-Focus, Boutique]",Recovery Hub,2 stainless steel ice baths,TRUE,https://www.oneldn.com/recovery
One Spa London,"The Circle, Queen Elizabeth St, London SE1 2JE",A boutique urban retreat located within The Circle Gym & Spa near Tower Bridge. Features a high-spec thermal suite including an infrared sauna.,,2,1,"[Finnish, Infrared]","[Boutique, Luxury, Wellness, Social]",Boutique Spa,,TRUE,https://www.onespalondon.co.uk/
Pancras Square Leisure,"5 Pancras Sq, London N1C 4AG","Modern community hub in King's Cross. Verified 2026: Features a poolside health suite with a sauna, steam room, and hydrotherapy ""Spa Pool.""",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/camden/pancras-square
Park Road Leisure Centre,"Park Rd, London N8 8JN",Large Haringey facility with indoor and outdoor pools. Maintains a health suite with a dry sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://haringey.gov.uk/leisure-parks-culture/leisure-centres/park-road-leisure-centre-lido
Peckham Pulse,"10 Melody Lane, London SE15 5SL","A ""Healthy Living Centre"" in Southwark. Features a dedicated poolside health suite with a sauna and steam room, plus a warm hydrotherapy pool.",,1,1,[Finnish],"[Public, Leisure, Wellness, Social]",Gym / Leisure Centre,,TRUE,https://southwarkleisure.co.uk/centres/peckham-pulse-leisure-centre/
Platinum Jubilee Leisure,"Rowlheys Place, West Drayton, UB7 7QH",Hillingdon's brand-new £37m flagship centre. Verified 2026: Features a modern health suite with a dedicated sauna and steam room located within the changing village.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/hillingdon/platinum-jubilee-leisure-centre
Porchester Spa,"Queensway, London W2 5HS","Iconic 1929 Turkish Baths. Verified 2026: Features a vast thermal circuit including graduated Turkish hot rooms (Tepidarium, Caldarium, Laconicum), 2 steam rooms, and a sauna.",,2,3,"[Finnish, Laconicum]","[Public, Historic, High-Heat, Traditional, Contrast-Focus]",Traditional Banya,1 tiled cold plunge pool,TRUE,https://everyonespa.com/our-venues/porchester-spa-westminster/
Putney Leisure Centre,"Dryburgh Rd, SW15 1BL","Managed by Places Leisure for Wandsworth Council. Verified 2026: Features a dedicated ""Health Suite"" with a sauna and steam room.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.placesleisure.org/centres/putney-leisure-centre/
Queen Mother Sports Centre,"223 Vauxhall Bridge Rd, SW1V 1EL",A flagship Everyone Active venue near Victoria. Verified 2026: Houses a spa suite with a sauna and steam room; offers specific Women Only sessions.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/queen-mother-sports-centre/
Rebase Marylebone,"1a St Vincent St, London W1U 4DA",A specialized recovery sanctuary. Verified 2026: Features both traditional Finnish saunas (85–95°C) and full-spectrum Infrared saunas (70–80°C).,,2,0,"[Finnish, Infrared]","[Boutique, Recovery Hub, Contrast-Focus, Wellness]",Recovery Hub,2 ice baths (3°C and 10°C),TRUE,https://www.rebaserecovery.com/
REGEN London,"6 Scarbrook Rd, Croydon CR0 1UH","Boutique training club in Croydon. Verified 2026: Features a ""Recovery Zone"" with a private Sunlighten infrared sauna included in membership.",,1,0,[Infrared],"[Boutique, Gym, Recovery Hub, Athletic]",Recovery Hub,,TRUE,https://www.regen-london.com/croydon-gym-memberships/
Remedi London,"1 Ace Way, Nine Elms, London SW11 7BF",Biohacking and holistic wellness clinic. Verified 2026: Focuses on advanced recovery including Infrared Saunas and Cryotherapy.,,1,0,[Infrared],"[Boutique, Wellness, Recovery Hub, Luxury]",Recovery Hub,,TRUE,https://www.remedilondon.com/service-page/infrared-sauna
Rena Health Club,"8-14 Cooper's Row, London EC3N 2BQ","Located within the Leonardo Royal London City. Features a subterranean wellness haven with a 25m pool, sauna, and aromatherapy steam room.",,1,1,[Finnish],"[Hotel Spa, Luxury, Wellness]",Hotel Spa,,TRUE,https://renaspa.co.uk/rena-london-city/facilities/
Rena Spa (Holborn),"10 Southampton Row, London WC1B 4AE",Situated in the NYX Hotel. Features a distinct 13m Greco-Roman style pool and a high-heat dry sauna.,,1,1,[Finnish],"[Hotel Spa, Luxury, Wellness, Boutique]",Hotel Spa,,TRUE,https://renaspa.co.uk/rena-london-holborn/facilities/
Reset Islington,"240 Upper St, London N1 1RU",2026 Flagship: A premier social sauna destination opened Jan 2026. Features one of London's largest charred oak saunas (105°C) and custom ice baths.,,1,0,[Finnish],"[Social, High-Heat, Contrast-Focus, Boutique, Luxury]",Social Sauna / Recovery Hub,8 stainless steel ice baths,TRUE,https://resetsauna.com/
Revitalise Urban Spa,"2 Maple Path, London E5 8FD",An independent wellness sanctuary in Hackney Downs. Verified 2026: Houses one large traditional sauna and two Clearlight infrared saunas.,,3,0,"[Finnish, Infrared]","[Boutique, Social, Contrast-Focus, Wellness, Recovery Hub]",Recovery Hub,3 custom copper ice baths,TRUE,https://www.revitaliseurbanspa.co.uk/
Reynolds Fitness Spa,"The Chapel, Chapel Walk, Bexley DA5 2DX",A luxury spa set within a beautifully restored 19th-century chapel. Features a herbal sauna and two distinct salt/aroma steam rooms.,,1,2,[Herbal],"[Luxury, Wellness, Boutique, Traditional]",Boutique Spa,,TRUE,https://www.reynoldsgroup.co.uk/fitness-spa/kent-spa/bexley/
Richmond HarSPA,"152-158 Richmond Hill, London TW10 6RP","Located within the Richmond Harbour Hotel. Offers a tranquil thermal suite with a Finnish sauna, steam room, and hydrotherapy pool.",,1,1,[Finnish],"[Luxury, Hotel Spa, Wellness]",Hotel Spa,,TRUE,https://www.harbourhotels.co.uk/our-hotels/london/harbour-hotel-richmond/harspa-club-richmond
Rooftop Saunas Hackney,"Netil Corner, 2 Bocking St, London E8 4RU","A ""social reset"" venue in Hackney. Verified 2026: Features multiple private timber cabins and communal cold plunges with views of the London skyline.",1,4,0,[Finnish],"[Boutique, Private, Social, Contrast-Focus]",Social Sauna,2 cold plunge pools,TRUE,https://rooftopsaunas.com/locations/hackney/
Rooftop Saunas Brixton,"International House, 6 Canterbury Crescent, London SW9 7QD",Updated Address: Set on the 11th floor with skyline views. Verified 2026: Features 4 private timber Finnish cabins and communal cold plunges.,1,4,0,[Finnish],"[Private, Social, Boutique, Contrast-Focus, Wellness]",Social Sauna,2 chilled (5-7°C) and 1 un-chilled cold plunge pool,TRUE,https://rooftopsaunas.com/locations/brixton/
S.Spa London,"Inside Wellbeing 95, 95 Streatham Hill, London SW2 4UD",A boutique sanctuary in Streatham Hill. Verified 2026: Offers specialized spa packages that include access to a private infrared sauna.,,1,0,[Infrared],"[Boutique, Private, Wellness]",Boutique Spa,,TRUE,https://www.sliquespa.net/
Sapphire Ice & Leisure,"24 Western Rd, Romford RM1 3JT",A flagship Everyone Active site. Features a 25m pool alongside a reliable health suite with a dry sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Athletic]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/sapphire-ice-leisure/
Sauna & Plunge,"124 Tabernacle St, London EC2A 4SA",A premium Shoreditch recovery hub. Verified 2026: Features multiple saunas and a significant array of graduated ice plunge pools.,1,2,1,"[Finnish, Infrared]","[Social, Boutique, Contrast-Focus, Wellness]",Social Sauna / Recovery Hub,"6 ice plunge pools (graduated 3°C, 6°C, and 9°C)",TRUE,https://saunaandplunge.life/
Sauna Social Club,"Railway Arch, 842 Brayards Rd, London SE15 2AG","Peckham's dedicated ""Social Sauna"" under the arches. Features a ""Chatting"" sauna and a ""Silent"" sauna with high-fidelity sound.",1,2,0,[Finnish],"[Social, Boutique, Contrast-Focus, Wellness]",Social Sauna,4 ice baths,TRUE,https://www.saunasocialclub.co.uk/
Shoreditch House,"Ebor St, London E1 6AW",Exclusive Soho House members' club. Features a Cowshed spa and a 4th-floor gym with a recovery-focused infrared sauna.,,1,1,[Infrared],"[Luxury, Private, Boutique, Wellness]",Boutique Spa,,TRUE,https://www.sohohouse.com/houses/shoreditch-house/spa
Southbury Leisure Centre,"192 Southbury Rd, Enfield EN1 1YP","A high-traffic ""Better"" facility. Verified 2026: Features a dedicated health suite including a dry sauna and steam room.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/enfield/southbury-leisure-centre
Spa Experience (Better) - Waltham Forest,"170 Chingford Rd, London E17 5AA","Located in the Waltham Forest Feel Good Centre. Verified 2026: Features a thermal suite with a Finnish sauna, Aroma steam room, and Hammam benches.",,1,2,[Finnish],"[Public, Boutique, Wellness, Luxury]",Boutique Spa,,TRUE,https://www.spaexperience.org.uk/locations/waltham-forest
Spa Experience Kensington,"Bomore Rd, London W10 6UX",Situated in the Kensington Leisure Centre. Verified 2026: Offers a dual dry-heat setup with a traditional sauna and a recently added Infrared sauna.,,2,1,"[Finnish, Infrared]","[Public, Boutique, Wellness, Luxury]",Boutique Spa,,TRUE,https://www.spaexperience.org.uk/locations/kensington
Spirit Health Club (Sutton),"Gibson Rd, Sutton SM1 2RF","Located within the Holiday Inn Sutton. Features a comprehensive 2026 wellness offering including a sauna, steam room, and spa pool.",,1,1,[Finnish],"[Gym, Wellness, Hotel, Traditional]",Hotel Spa,,TRUE,https://www.spirithealthclubs.co.uk/clubs/sutton/
St. M's Thera Spa,"133 Saint Margarets Road, Twickenham TW1 1RG",A specialized recovery-focused sanctuary. Verified 2026: Features a dedicated private Infrared sauna suite alongside red light therapy beds.,,1,0,[Infrared],"[Boutique, Private, Wellness, Recovery Hub]",Recovery Hub,,TRUE,https://www.fresha.com/a/st-ms-thera-spa-twickenham-133-saint-margarets-road-d4u1qx9p
St. Pancras Spa,"Euston Rd, London NW1 2AR",Nestled in the Renaissance Hotel. Features a Victorian-inspired thermal suite with a traditional sauna and therapeutic steam room.,,1,1,[Finnish],"[Luxury, Hotel Spa, Wellness, Traditional]",Hotel Spa,,TRUE,https://www.marriott.com/en-gb/hotels/lonpk-st-pancras-london-autograph-collection/experiences/st-pancras-spa/
Stoke Newington Sauna,"Unit 5, Bonsoir House, 1-3 Victorian Grove, N16 8EN",2026 Flagship: A new high-spec social sauna and contrast therapy hub. Features a 12-person Finnish sauna and a 4-person Infrared sauna.,1,2,0,"[Finnish, Infrared]","[Social, Boutique, Contrast-Focus, High-Heat]",Social Sauna / Recovery Hub,2 cold plunge pools,TRUE,https://stokenewingtonsauna.com/
Streatham Ice & Leisure Centre,"390 Streatham High Rd, SW16 6HX",A major GLL flagship. Verified 2026: Features a large health suite with a high-heat sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness, High-Heat]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lambeth/streatham-ice-and-leisure-centre
Sunbury Leisure Centre,"Nursery Rd, Sunbury-on-Thames TW16 6L",Managed by Everyone Active. Verified 2026: Features a dedicated health suite including a sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/sunbury-leisure-centre/
Synergy Recovery Lab,"1-2 Adeline Pl, London WC1B 3AJ",A high-performance biohacking and recovery hub. Verified 2026: Features a private Infrared sauna suite and cold-air cryotherapy.,,1,0,[Infrared],"[Boutique, Recovery Hub, Wellness, Tech]",Recovery Hub,,TRUE,https://synergy-recovery-lab.com/
Sweheat Sauna,"Western Beach, 1 Dock Rd, London E16 1AH","2026 Flagship: A premier outdoor wood-fired sauna on the water's edge. Features a large 12-person ""Event"" sauna and a 6-person private cabin.",1,2,0,"[Wood-fired, Finnish]","[Social, Boutique, Traditional, Contrast-Focus, Outdoor]",Social Sauna,1 outdoor cold plunge pool,TRUE,https://www.sweheatsauna.co.uk/
Swiss Cottage Leisure,"Adelaide Rd, London NW3 3NF","A landmark GLL facility. Houses an on-site ""Spa Experience"" featuring a traditional thermal suite with multiple heat rooms and a hydro-pool.",,1,2,[Finnish],"[Public, Leisure, Wellness, Luxury]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/camden/swiss-cottage-leisure-centre
TaiTam-D Massage & Beauty,"72-74 Caledonian Rd, London N1 9DN",Address Corrected: Boutique Thai massage and beauty clinic near King's Cross. Verified 2026: Features a private Infrared sauna cabin for therapeutic recovery and detoxification.,,1,0,[Infrared],"[Boutique, Private, Wellness]",Wellness Centre,,TRUE,https://taitam-d-massage-beauty.mytreatwell.co.uk/
TEMZ Floating Saunas,"The Lensbury Resort, Broom Rd, TW11 9NU",2026 Flagship: A Scandinavian wood-fired floating sauna moored on the Thames. Focuses on nature immersion and contrast therapy with ice baths.,1,1,0,"[Finnish, Wood-fired]","[Social, Boutique, Contrast-Focus, Outdoor]",Social Sauna,1 ice bath,TRUE,https://www.temzfloatingsaunas.com/
Thai Square Spa,"25 Northumberland Ave, London WC2N 5AP","Award-winning luxury day spa in a former Victorian bathhouse. Features a ""Sen Space"" journey with a high-heat sauna and aromatherapy steam room.",,1,1,[Finnish],"[Luxury, Boutique, Wellness, Traditional]",Boutique Spa,,TRUE,https://thaisquarespa.com/
The Abbey Spa,"Bobby Moore Way, Barking IG11 7HW",The luxury thermal wing of the Abbey Leisure Centre. Features a high-spec circuit including a rock sauna and two distinct themed steam rooms.,,1,2,[Rock],"[Public, Boutique, Wellness, Affordable]",Boutique Spa,,TRUE,https://www.everyoneactive.com/centre/abbey-leisure-centre/the-abbey-spa/
